,order_id,product_name,Category,Brand,Price,Discount (%),Final_Price,Rating,Number of Reviews,Seller_Name	,Order_date,Order_Status,Payment_Method,Customer_Location,Quantity_Sold
34,ORD035,Gaming Console Samsung,Electronics,Puma,9731,41,5741.29,3.6,1411,"Anderson, Wolfe and Mcdonald",09-10-2024,Delivered,Amazon Pay,Delhi,6
35,ORD036,Laptop Revlon,Books,Samsung,9444,58,3966.48,4.7,471,"Johnson, Matthews and Walker",03-09-2024,Delivered,Net Banking,Lucknow,2
36,ORD037,Gaming Console Nike,Home Decor,Philips,32955,30,23068.5,3.3,1042,Coleman LLC,31-07-2023,Shipped,Cash on Delivery,Chennai,6
37,ORD038,LED TV Puma,Books,Puma,39050,37,24601.5,2.4,1236,Mcpherson-Thomas,13-01-2025,Delivered,Credit Card,Ahmedabad,2
38,ORD039,Washing Machine Lenovo,Grocery,Adidas,28520,29,20249.2,3.7,1398,Richmond PLC,21-11-2024,Returned,Cash on Delivery,Chennai,2
39,ORD040,Smartphone Apple,Fashion,Apple,11650,33,7805.5,4.4,211,"Nguyen, Manning and Simmons",23-01-2024,Delivered,Net Banking,Pune,6
40,ORD041,Laptop LG,Toys,Philips,13076,33,8760.92,2.1,796,"Gilbert, Fisher and Washington",02-08-2024,Cancelled,Credit Card,Hyderabad,1
41,ORD042,Smartphone LG,Fashion,Adidas,39425,21,31145.75,2.8,1350,Glass-Odom,02-02-2025,Returned,Cash on Delivery,Bangalore,2
42,ORD043,Gaming Console Philips,Grocery,Revlon,38529,30,26970.3,3.1,1274,"Golden, Schneider and Curry",20-09-2024,Cancelled,UPI,Delhi,1
43,ORD044,Laptop Amazon Basics,Toys,Nike,21011,18,17229.02,4.2,1082,Smith Group,07-05-2023,Processing,Credit Card,Lucknow,2
44,ORD045,Washing Machine Revlon,Grocery,Lenovo,43081,50,21540.5,2.3,31,"Mendoza, Robertson and Roberts",10-08-2024,Cancelled,Amazon Pay,Hyderabad,5
45,ORD046,LED TV Philips,Electronics,Philips,47949,15,40756.65,4.5,611,"Hooper, Johnson and Reed",21-05-2023,Returned,Net Banking,Pune,7
46,ORD047,Laptop Nike,Books,Puma,49603,5,47122.85,3.0,394,Kelley Inc,28-04-2024,Processing,Cash on Delivery,Delhi,9
47,ORD048,LED TV Apple,Grocery,Adidas,29835,37,18796.05,4.2,1136,Payne Inc,24-07-2023,Returned,Amazon Pay,Hyderabad,9
48,ORD049,Smartphone Lenovo,Beauty,Samsung,30256,69,9379.36,3.2,834,"Rodriguez, Romero and Long",19-05-2024,Shipped,Net Banking,Ahmedabad,10
49,ORD050,Gaming Console Puma,Home Decor,Samsung,38233,40,22939.8,3.0,955,Williams-Curry,22-05-2024,Delivered,Cash on Delivery,Hyderabad,9
50,ORD051,Washing Machine Revlon,Sports,Samsung,34281,17,28453.23,3.4,119,Weiss Group,25-01-2025,Processing,Cash on Delivery,Chennai,8
51,ORD052,Running Shoes Lenovo,Appliances,Revlon,7657,25,5742.75,4.4,20,Mckay-Scott,25-11-2024,Processing,Credit Card,Bangalore,6
52,ORD053,Washing Machine Adidas,Electronics,Samsung,20382,38,12636.84,2.0,1362,Johnson-Mcbride,12-05-2024,Returned,Amazon Pay,Mumbai,10
53,ORD054,Laptop Nike,Toys,Adidas,26537,5,25210.15,4.7,818,"Garcia, Nelson and Johnson",08-09-2024,Cancelled,UPI,Kolkata,6
54,ORD055,Washing Machine Puma,Toys,Samsung,22774,63,8426.38,3.7,35,"Logan, Stokes and Wiggins",18-12-2023,Shipped,UPI,Chennai,6
55,ORD056,Gaming Console Revlon,Fashion,Revlon,27274,19,22091.94,4.4,953,Porter-Lee,17-06-2024,Processing,Cash on Delivery,Ahmedabad,5
56,ORD057,Smartphone Lenovo,Electronics,Nike,48536,31,33489.84,4.2,1267,Bowers-Ramsey,06-03-2024,Processing,Debit Card,Kolkata,10
57,ORD058,Gaming Console Samsung,Appliances,Lenovo,2416,12,2126.08,2.1,344,Martin PLC,16-07-2024,Cancelled,Amazon Pay,Bangalore,4
58,ORD059,Washing Machine Nike,Home Decor,Lenovo,9988,12,8789.44,3.2,1441,"Garcia, Stout and Lopez",21-01-2025,Returned,Amazon Pay,Bangalore,6
59,ORD060,Gaming Console Revlon,Fashion,Puma,39275,40,23565.0,4.5,287,"Schneider, Reese and Wright",22-03-2023,Cancelled,Net Banking,Mumbai,4
60,ORD061,Washing Machine Amazon Basics,Appliances,Amazon Basics,5508,28,3965.76,2.8,293,"Sanders, Brennan and Thomas",07-06-2024,Shipped,Debit Card,Delhi,4
61,ORD062,Running Shoes LG,Fashion,Amazon Basics,40667,35,26433.55,3.5,805,Lyons Group,06-02-2024,Delivered,Credit Card,Pune,3
62,ORD063,Gaming Console Adidas,Fashion,Lenovo,40624,58,17062.08,4.7,542,Ryan-Jackson,18-04-2023,Returned,Cash on Delivery,Jaipur,3
63,ORD064,Laptop Lenovo,Fashion,Samsung,17689,28,12736.08,3.3,1180,Wilson Ltd,17-07-2023,Cancelled,Amazon Pay,Mumbai,9
64,ORD065,LED TV Revlon,Toys,Revlon,7220,63,2671.4,3.1,549,"Johnson, Hays and Warner",16-03-2024,Returned,Amazon Pay,Pune,9
65,ORD066,Running Shoes Apple,Beauty,Samsung,39448,12,34714.24,2.3,651,Taylor Inc,02-01-2025,Delivered,UPI,Hyderabad,1
66,ORD067,LED TV Lenovo,Beauty,Nike,8240,55,3708.0,2.3,1293,"Woods, Goodwin and Freeman",25-08-2024,Shipped,Amazon Pay,Bangalore,10
67,ORD068,Smartphone Puma,Appliances,Apple,42852,40,25711.2,2.0,315,Fisher-Pineda,04-06-2024,Shipped,Amazon Pay,Ahmedabad,3
68,ORD069,LED TV Revlon,Toys,Amazon Basics,8840,46,4773.6,3.1,1053,Pollard-White,29-10-2023,Returned,Credit Card,Chennai,10
69,ORD070,Gaming Console Puma,Home Decor,Adidas,47160,50,23580.0,3.4,1363,Hammond-Bell,17-01-2024,Delivered,Debit Card,Hyderabad,8
70,ORD071,Perfume LG,Electronics,Lenovo,41737,69,12938.47,2.1,1054,"Richards, Diaz and Terry",25-05-2023,Shipped,Net Banking,Bangalore,10
71,ORD072,Running Shoes Nike,Sports,Amazon Basics,14127,49,7204.77,3.8,1374,Fox Inc,10-02-2024,Delivered,UPI,Ahmedabad,9
72,ORD073,Running Shoes LG,Appliances,LG,38917,64,14010.12,4.9,1170,Clark Inc,31-08-2023,Returned,Debit Card,Chennai,10
73,ORD074,Perfume Nike,Home Decor,Amazon Basics,26616,47,14106.48,3.6,1029,Gomez-Mercado,11-08-2024,Delivered,Amazon Pay,Lucknow,7
74,ORD075,Running Shoes Lenovo,Electronics,Lenovo,20813,11,18523.57,3.5,1487,Brown-Ayala,16-08-2024,Delivered,Cash on Delivery,Delhi,4
75,ORD076,Perfume Nike,Sports,Revlon,12633,42,7327.14,3.7,1279,Lewis-Young,25-11-2024,Shipped,Credit Card,Bangalore,4
76,ORD077,Washing Machine Lenovo,Grocery,Puma,42679,67,14084.07,3.7,213,"Roman, Young and Aguilar",22-02-2024,Returned,Net Banking,Bangalore,10
77,ORD078,Gaming Console Amazon Basics,Grocery,Adidas,38931,5,36984.45,2.8,1443,Brown-Hubbard,09-06-2024,Processing,UPI,Jaipur,8
78,ORD079,Laptop Lenovo,Electronics,Amazon Basics,34052,34,22474.32,2.3,76,Stokes-Chavez,06-04-2024,Returned,Net Banking,Kolkata,3
79,ORD080,Gaming Console Puma,Books,Revlon,46320,8,42614.4,4.6,1149,"Ware, Miller and Sanders",13-09-2024,Delivered,Debit Card,Mumbai,1
80,ORD081,Perfume Philips,Sports,Amazon Basics,26269,9,23904.79,3.3,1340,"Ward, Dean and Williams",22-05-2024,Returned,Cash on Delivery,Kolkata,10
81,ORD082,Smartphone Revlon,Grocery,Puma,48606,13,42287.22,4.2,371,"Fox, Petty and Black",10-05-2023,Shipped,Debit Card,Bangalore,2
82,ORD083,Running Shoes Nike,Fashion,Nike,37235,46,20106.9,3.9,912,Green Group,14-01-2024,Delivered,Net Banking,Kolkata,3
83,ORD084,Smartphone LG,Sports,Nike,37532,22,29274.96,4.4,1450,Taylor-Walter,16-03-2023,Shipped,Debit Card,Chennai,6
84,ORD085,LED TV Apple,Books,Lenovo,46653,67,15395.49,4.6,801,Ford-Stephens,04-07-2023,Delivered,Net Banking,Mumbai,6
85,ORD086,Gaming Console Samsung,Toys,Samsung,6771,52,3250.08,4.2,1477,Kelly PLC,04-03-2023,Cancelled,Net Banking,Delhi,4
86,ORD087,Washing Machine Revlon,Books,Philips,26398,16,22174.32,2.6,196,Adams Ltd,08-05-2024,Returned,Net Banking,Pune,10
87,ORD088,Washing Machine Adidas,Sports,Samsung,36316,66,12347.44,3.5,313,Carter-Harris,19-06-2023,Cancelled,Amazon Pay,Chennai,1
88,ORD089,Smartphone Nike,Grocery,Amazon Basics,19390,59,7949.9,3.2,514,"Smith, Morgan and Cooper",25-03-2023,Returned,UPI,Lucknow,3
89,ORD090,Smartphone Nike,Sports,Nike,45635,60,18254.0,3.8,455,King-Haas,15-03-2023,Returned,Debit Card,Chennai,7
90,ORD091,LED TV Puma,Beauty,Samsung,42131,39,25699.91,3.3,879,Mcdaniel-Barajas,07-12-2024,Processing,Net Banking,Ahmedabad,3
91,ORD092,Gaming Console Lenovo,Sports,Apple,17861,37,11252.43,4.4,1398,Burke Inc,27-04-2024,Processing,Debit Card,Pune,1
92,ORD093,Running Shoes Nike,Beauty,Adidas,10906,14,9379.16,3.6,1238,Smith PLC,23-03-2024,Returned,Cash on Delivery,Pune,1
93,ORD094,Laptop Philips,Appliances,Adidas,49355,68,15793.6,4.8,208,Frazier-Lam,26-04-2023,Returned,Debit Card,Ahmedabad,5
94,ORD095,LED TV Amazon Basics,Beauty,Amazon Basics,18302,35,11896.3,2.4,1238,Jimenez-Arnold,04-09-2024,Delivered,Debit Card,Bangalore,2
95,ORD096,Smartphone Apple,Appliances,Revlon,21565,17,17898.95,3.7,267,Lynch Group,14-12-2023,Processing,Cash on Delivery,Kolkata,10
96,ORD097,Laptop Apple,Beauty,Adidas,37027,63,13699.99,3.6,80,Schmidt-Young,27-08-2024,Shipped,Debit Card,Kolkata,5
97,ORD098,Laptop Lenovo,Grocery,Apple,20681,67,6824.73,4.1,1235,Gardner-Diaz,04-09-2023,Shipped,Credit Card,Lucknow,8
98,ORD099,Smartphone Lenovo,Fashion,Apple,30340,48,15776.8,4.0,360,"Dixon, Branch and Holt",20-12-2023,Cancelled,UPI,Mumbai,6
99,ORD100,Laptop Puma,Home Decor,Nike,49365,5,46896.75,5.0,105,Olson-Chan,21-06-2024,Delivered,Debit Card,Chennai,2
100,ORD101,Perfume LG,Beauty,Nike,39335,36,25174.4,3.6,732,Walker-Knapp,10-09-2024,Shipped,Amazon Pay,Ahmedabad,9
101,ORD102,LED TV Puma,Fashion,Apple,14837,12,13056.56,4.7,1269,Steele-Morgan,04-01-2024,Shipped,Debit Card,Mumbai,1
102,ORD103,Smartphone Revlon,Sports,Amazon Basics,2142,69,664.02,4.9,351,Brandt-Washington,07-10-2023,Shipped,Credit Card,Ahmedabad,5
103,ORD104,LED TV LG,Toys,Samsung,8921,60,3568.4,3.4,1121,Mullins Inc,18-02-2025,Shipped,UPI,Delhi,6
104,ORD105,Running Shoes Apple,Home Decor,Puma,46108,23,35503.16,3.1,1309,Jacobs-Williamson,24-05-2024,Processing,Amazon Pay,Hyderabad,3
105,ORD106,Washing Machine Nike,Toys,Lenovo,42109,62,16001.42,4.5,471,"Rice, Schroeder and Gray",22-12-2023,Delivered,Debit Card,Jaipur,5
106,ORD107,Running Shoes Puma,Appliances,Lenovo,14900,32,10132.0,2.3,1269,"Leonard, Herring and Simmons",13-10-2024,Delivered,Cash on Delivery,Mumbai,2
107,ORD108,Smartphone Puma,Toys,Amazon Basics,9374,28,6749.28,4.9,576,"Clark, Ellison and David",15-09-2024,Processing,Debit Card,Chennai,1
108,ORD109,Perfume Lenovo,Sports,LG,49099,28,35351.28,4.4,1395,"Lewis, Dougherty and Rivera",04-10-2024,Processing,Cash on Delivery,Jaipur,9
109,ORD110,Perfume LG,Beauty,Lenovo,41270,41,24349.3,3.5,1435,Wilson-Andersen,12-05-2024,Shipped,Debit Card,Ahmedabad,3
110,ORD111,Laptop Nike,Beauty,Revlon,30990,54,14255.4,4.3,1495,"Daniels, Gonzalez and Arellano",12-11-2023,Cancelled,Debit Card,Lucknow,1
111,ORD112,Washing Machine Adidas,Electronics,Samsung,5215,7,4849.95,4.3,1204,Lee LLC,14-02-2025,Delivered,Credit Card,Bangalore,10
112,ORD113,Perfume Revlon,Beauty,Apple,7893,12,6945.84,3.2,1359,"Williams, Rich and Pruitt",25-05-2023,Returned,Cash on Delivery,Delhi,6
113,ORD114,Running Shoes Adidas,Electronics,Adidas,48501,26,35890.74,2.4,929,"Smith, Warner and Bailey",20-06-2024,Processing,Debit Card,Mumbai,1
114,ORD115,Smartphone Philips,Beauty,Nike,25446,49,12977.46,3.0,172,Kramer Ltd,02-08-2023,Processing,Amazon Pay,Bangalore,5
115,ORD116,LED TV Lenovo,Electronics,Nike,34238,32,23281.84,2.0,1316,Miller Group,02-04-2023,Shipped,Credit Card,Lucknow,6
116,ORD117,LED TV Amazon Basics,Fashion,Puma,15263,12,13431.44,4.1,1279,Coleman and Sons,13-09-2024,Processing,Net Banking,Hyderabad,7
117,ORD118,Running Shoes Revlon,Electronics,Nike,23800,18,19516.0,3.8,55,Ponce PLC,25-08-2023,Processing,Net Banking,Pune,3
118,ORD119,Gaming Console Amazon Basics,Books,Samsung,23357,58,9809.94,2.3,450,Case-Wheeler,15-05-2023,Delivered,Amazon Pay,Chennai,2
119,ORD120,Running Shoes Adidas,Sports,Puma,49238,15,41852.3,2.7,991,Hernandez Group,25-12-2024,Returned,Net Banking,Jaipur,8
120,ORD121,Running Shoes Nike,Beauty,Lenovo,42313,53,19887.11,3.2,304,Henderson-Mccarthy,05-06-2024,Delivered,UPI,Delhi,9
121,ORD122,Laptop Puma,Fashion,Apple,34223,18,28062.86,4.2,915,"Johnston, Stewart and Mejia",20-11-2024,Returned,Amazon Pay,Ahmedabad,7
122,ORD123,Running Shoes Amazon Basics,Electronics,Adidas,10563,5,10034.85,3.7,550,"Johnson, Wilson and Tate",19-08-2024,Delivered,Debit Card,Lucknow,5
123,ORD124,Laptop Nike,Home Decor,Puma,32816,46,17720.64,4.0,1433,Cook-Frey,11-04-2024,Shipped,Debit Card,Lucknow,6
124,ORD125,LED TV Revlon,Books,Puma,46826,65,16389.1,2.2,74,"Garner, Larsen and Cook",06-02-2025,Returned,Net Banking,Delhi,4
125,ORD126,Perfume Philips,Fashion,LG,25884,63,9577.08,2.8,964,Finley and Sons,02-10-2023,Shipped,Cash on Delivery,Ahmedabad,10
126,ORD127,Washing Machine Puma,Toys,Philips,8846,21,6988.34,4.2,36,Wall Inc,29-04-2023,Returned,Debit Card,Kolkata,4
127,ORD128,Washing Machine Apple,Books,Lenovo,6589,51,3228.61,4.5,818,"Shields, Finley and Collins",20-01-2024,Shipped,Debit Card,Mumbai,3
128,ORD129,Perfume Apple,Fashion,Amazon Basics,5952,50,2976.0,4.3,760,Reynolds Ltd,23-03-2023,Processing,UPI,Delhi,10
129,ORD130,LED TV Amazon Basics,Electronics,Samsung,32939,13,28656.93,4.7,1106,Sanchez LLC,02-12-2024,Processing,Debit Card,Chennai,2
130,ORD131,Washing Machine Lenovo,Appliances,LG,1527,46,824.58,4.3,496,"Cooke, Adams and Coleman",21-06-2023,Cancelled,Debit Card,Ahmedabad,4
131,ORD132,Gaming Console Nike,Electronics,Revlon,16328,12,14368.64,2.4,392,Martin Group,11-12-2024,Delivered,Cash on Delivery,Pune,4
132,ORD133,Washing Machine Nike,Books,Revlon,37406,12,32917.28,2.1,711,Cook-Patel,02-12-2024,Processing,Credit Card,Pune,3
133,ORD134,Gaming Console LG,Fashion,Puma,48331,24,36731.56,4.6,1071,Simmons PLC,02-05-2023,Shipped,Amazon Pay,Chennai,1
134,ORD135,Running Shoes Adidas,Toys,Apple,16611,22,12956.58,4.4,345,Burns Group,25-07-2023,Delivered,Net Banking,Jaipur,10
135,ORD136,Gaming Console Philips,Fashion,Amazon Basics,19100,18,15662.0,4.3,41,Price-Hernandez,03-08-2023,Delivered,Net Banking,Pune,9
136,ORD137,Smartphone LG,Fashion,Nike,12710,58,5338.2,3.1,1067,Dunn Inc,26-02-2025,Delivered,Net Banking,Kolkata,2
137,ORD138,Laptop Amazon Basics,Books,Puma,47336,53,22247.92,4.9,855,Gaines and Sons,16-06-2024,Shipped,Cash on Delivery,Bangalore,4
138,ORD139,Laptop Lenovo,Sports,Amazon Basics,21831,48,11352.12,4.2,330,"Brown, Lynn and Krueger",07-04-2023,Cancelled,Net Banking,Hyderabad,2
139,ORD140,Perfume Lenovo,Home Decor,Nike,48729,57,20953.47,2.7,1445,Walsh Ltd,24-05-2023,Shipped,UPI,Jaipur,6
140,ORD141,Laptop LG,Beauty,Philips,23992,5,22792.4,3.0,406,Cook and Sons,15-12-2023,Cancelled,Net Banking,Ahmedabad,8
141,ORD142,Perfume Nike,Home Decor,Apple,30790,31,21245.1,3.2,1339,Bean-Bowman,15-03-2023,Delivered,Credit Card,Hyderabad,5
142,ORD143,Perfume LG,Toys,Revlon,21077,5,20023.15,3.0,1489,"White, Marshall and Ross",11-07-2024,Returned,Cash on Delivery,Pune,5
143,ORD144,Running Shoes Samsung,Books,Philips,32394,37,20408.22,2.6,1466,Johnson-Love,19-10-2024,Returned,Credit Card,Ahmedabad,10
144,ORD145,Laptop Samsung,Grocery,LG,25349,38,15716.38,4.0,807,Leon Inc,15-03-2023,Shipped,Amazon Pay,Pune,3
145,ORD146,Running Shoes Amazon Basics,Home Decor,Adidas,5509,36,3525.76,4.4,873,"Malone, Gardner and Jones",20-01-2024,Returned,Net Banking,Ahmedabad,9
146,ORD147,LED TV Apple,Beauty,Amazon Basics,8953,59,3670.73,2.6,560,"Schultz, Williamson and Williams",09-04-2023,Shipped,Credit Card,Bangalore,7
147,ORD148,Gaming Console Revlon,Electronics,Amazon Basics,36944,53,17363.68,3.1,839,Mclaughlin Group,15-09-2023,Cancelled,Debit Card,Ahmedabad,1
148,ORD149,LED TV LG,Grocery,Nike,27207,22,21221.46,3.6,1053,"Roberson, Burke and Davidson",07-11-2024,Shipped,Cash on Delivery,Delhi,3
149,ORD150,Smartphone Revlon,Home Decor,Apple,36374,43,20733.18,3.2,252,"Stephens, Lopez and Washington",06-08-2023,Shipped,Debit Card,Bangalore,4
150,ORD151,LED TV Apple,Grocery,Apple,31850,9,28983.5,2.6,1377,Hill-Myers,22-10-2024,Delivered,Net Banking,Jaipur,2
151,ORD152,Perfume Nike,Home Decor,Adidas,8211,36,5255.04,4.0,1013,"Sutton, Hayes and Smith",04-06-2023,Cancelled,Cash on Delivery,Pune,9
152,ORD153,Perfume Samsung,Fashion,Adidas,38261,59,15687.01,4.2,922,Lee-Smith,08-06-2023,Cancelled,Net Banking,Kolkata,2
153,ORD154,Running Shoes LG,Home Decor,Amazon Basics,2386,68,763.52,2.3,43,West-Campos,17-11-2023,Processing,Cash on Delivery,Ahmedabad,3
154,ORD155,Perfume Amazon Basics,Toys,LG,45325,14,38979.5,2.8,1027,Petersen and Sons,29-10-2024,Processing,UPI,Kolkata,9
155,ORD156,Gaming Console Lenovo,Grocery,Lenovo,45590,18,37383.8,4.9,1349,"Rivas, Garcia and Dorsey",08-09-2024,Processing,Cash on Delivery,Bangalore,3
156,ORD157,Smartphone LG,Home Decor,Puma,12649,41,7462.91,3.3,580,Aguilar-Irwin,19-06-2024,Shipped,Debit Card,Pune,1
157,ORD158,Laptop Adidas,Beauty,LG,23615,18,19364.3,4.9,1264,Adkins-Romero,03-12-2024,Delivered,Credit Card,Chennai,5
158,ORD159,Smartphone Amazon Basics,Electronics,Nike,12947,41,7638.73,2.0,717,"Robinson, Weiss and Nicholson",19-04-2024,Returned,Amazon Pay,Mumbai,4
159,ORD160,Laptop Nike,Fashion,LG,25617,36,16394.88,4.5,78,Williams-Weaver,07-06-2024,Delivered,Debit Card,Jaipur,2
160,ORD161,Smartphone Apple,Books,Samsung,14631,41,8632.29,3.9,95,Jones and Sons,21-09-2024,Shipped,Credit Card,Delhi,8
161,ORD162,Laptop Revlon,Home Decor,Nike,10078,66,3426.52,3.6,1242,Hernandez-Boone,14-12-2024,Cancelled,Amazon Pay,Pune,10
162,ORD163,Perfume Revlon,Sports,Adidas,11839,18,9707.98,2.3,170,"Welch, Washington and Patrick",24-01-2025,Processing,Amazon Pay,Delhi,6
163,ORD164,Smartphone Adidas,Books,Apple,31820,46,17182.8,2.3,338,Conrad-King,25-02-2024,Shipped,Net Banking,Delhi,1
164,ORD165,Running Shoes Puma,Electronics,Lenovo,19272,61,7516.08,2.1,1189,Brown Group,02-03-2024,Returned,Net Banking,Jaipur,8
165,ORD166,Running Shoes Nike,Fashion,Puma,37090,19,30042.9,4.1,1079,Miller-Mullen,16-05-2024,Returned,Amazon Pay,Jaipur,2
166,ORD167,LED TV Lenovo,Books,Revlon,20824,64,7496.64,4.7,477,"Reeves, Hogan and Allen",20-12-2024,Shipped,Debit Card,Ahmedabad,8
167,ORD168,Running Shoes Samsung,Beauty,Amazon Basics,5830,7,5421.9,3.1,479,"Davis, Rodriguez and Baker",16-02-2025,Delivered,Debit Card,Jaipur,4
168,ORD169,Washing Machine Revlon,Books,Samsung,39768,28,28632.96,4.8,131,Davis and Sons,24-05-2023,Processing,UPI,Hyderabad,7
169,ORD170,Running Shoes Amazon Basics,Grocery,Amazon Basics,27509,21,21732.11,4.9,63,"Mercer, Rodriguez and Dalton",05-10-2023,Delivered,Credit Card,Hyderabad,3
170,ORD171,Washing Machine Revlon,Electronics,Puma,13632,18,11178.24,4.2,1091,Velazquez PLC,17-03-2024,Shipped,Cash on Delivery,Jaipur,5
171,ORD172,Gaming Console Revlon,Electronics,Lenovo,2702,17,2242.66,4.1,1133,"Gould, Cook and Knapp",28-12-2024,Delivered,Cash on Delivery,Chennai,1
172,ORD173,Washing Machine Nike,Appliances,Samsung,25728,18,21096.96,3.5,983,Williams-Silva,15-11-2024,Shipped,Net Banking,Chennai,5
